OB05G30230.1	OB05G33200.1	51.695	354	136	11	2	343	1	331	4.99e-101	301 360 335
OB01G16590.1	OB06G13470.1	60.403	149	52	4	6	150	9	154	3.62e-55	170 150 177
OB05G25610.1	OB06G10880.1	82.692	52	9	0	19	70	4	55	3.54e-25	87.4 70 55
OB03G37840.1	OB03G37900.1	67.048	874	273	7	4	863	5	877	0.0	1222 863 877
OB02G18110.1	OB06G26270.1	71.261	341	94	2	1	338	1	340	0.0	507 341 341
OB08G18220.1	OB11G21850.1	89.167	120	11	1	7	124	1	120	2.90e-74	216 126 120
OB11G27750.1	OB11G27760.1	100.000	36	0	0	4	39	3	38	1.34e-19	71.6 39 38
OB01G24440.1	OB01G40900.1	51.121	223	96	3	1	223	1	210	1.64e-75	227 235 214
OB05G30810.1	OB07G18950.1	60.271	443	149	9	74	502	34	463	8.24e-154	446 507 468
OB06G17370.1	OB08G21990.1	70.370	270	76	1	11	276	5	274	9.14e-140	394 287 282
OB03G44760.1	OB03G44730.1	60.473	296	106	2	5	291	12	305	1.13e-129	370 307 293
OB06G35950.1	OB07G14250.1	52.146	792	330	13	272	1038	8	775	0.0	805 1038 775
OB05G31010.1	OB01G38960.1	53.928	471	198	6	8	471	166	624	1.64e-171	496 626 480
OB03G45850.1	OB04G21120.1	56.118	237	90	4	16	239	15	250	4.35e-93	273 248 256
OB02G30440.1	OB08G11850.1	88.131	337	40	0	1	337	1	337	0.0	612 337 337
OB03G40580.1	OB12G18310.1	56.643	429	179	4	87	513	1	424	2.31e-171	489 513 424
OB01G38970.1	OB05G31010.1	62.156	473	170	4	1	467	1	470	0.0	558 471 480
OB03G34840.1	OB12G20390.1	56.908	304	128	2	60	362	9	310	2.58e-130	375 378 315
OB03G22030.1	OB01G24430.1	76.094	297	69	1	12	308	9	303	3.90e-176	489 325 321
OB09G17060.1	OB09G11730.1	53.936	343	143	5	17	359	2	329	7.81e-127	367 329 364
OB01G10400.1	OB01G10390.1	77.636	313	63	3	36	345	6	314	3.68e-170	475 314 345
OB07G23390.1	OB07G28630.1	50.683	659	302	11	38	691	27	667	0.0	647 691 667
OB05G28780.1	OB06G16380.1	50.139	359	158	5	9	359	7	352	1.70e-114	338 407 379
OB02G31280.1	OB12G13240.1	77.429	319	71	1	1	318	1	319	0.0	511 335 332
OB01G16550.1	OB05G16140.1	77.027	222	46	4	24	244	63	280	4.14e-121	346 259 291
OB06G27420.1	OB03G35790.1	55.459	458	192	6	31	481	25	477	5.41e-172	492 479 481
OB07G22850.1	OB07G22860.1	66.761	355	101	7	84	434	1	342	1.14e-152	436 434 342
OB03G11660.1	OB10G24090.1	52.963	270	119	3	72	341	70	331	2.87e-89	270 345 334
OB05G27250.1	OB05G34920.1	58.173	416	173	1	26	441	35	449	0.0	514 473 460
OB06G30700.1	OB06G30720.1	65.928	361	112	4	1	359	1	352	7.04e-166	467 364 356
OB05G10820.1	OB01G54790.1	77.037	405	83	2	1	401	1	399	0.0	613 420 401
OB01G33860.1	OB07G28670.1	59.827	346	123	5	1	340	59	394	1.34e-137	395 341 401
OB08G15870.1	OB05G18040.1	74.251	1002	249	5	3	999	2	999	0.0	1501 1012 1031
OB01G32970.1	OB01G34840.1	68.669	616	144	9	2	612	5	576	0.0	860 612 576
OB02G13280.1	OB04G35190.1	79.259	270	55	1	53	322	11	279	5.21e-161	450 337 282
OB05G26900.1	OB03G45980.1	93.488	215	13	1	1	215	1	214	4.32e-137	382 214 215
OB07G20540.1	OB09G15220.1	58.657	283	105	2	72	354	3	273	5.74e-118	342 368 281
OB02G15890.1	OB06G23890.1	53.002	483	214	3	34	507	31	509	1.03e-179	513 509 509
OB11G11920.1	OB12G14200.1	59.053	486	167	2	57	542	5	458	0.0	592 557 483
OB05G18050.1	OB08G15870.1	69.989	893	201	6	109	937	133	1022	0.0	1239 939 1031
OB05G25270.1	OB01G47650.1	80.899	445	76	5	26	462	70	513	0.0	726 513 462
OB03G44820.1	OB07G14650.1	80.269	446	87	1	1	446	1	445	0.0	773 446 445
OB06G27230.1	OB06G27310.1	65.252	1013	347	4	1	1012	1	1009	0.0	1290 1131 1010
OB01G48190.1	OB05G25020.1	74.935	383	84	3	1	374	33	412	0.0	567 374 412
OB01G29560.1	OB12G14270.1	82.716	81	13	1	1	80	1	81	4.71e-25	88.2 80 82
OB01G43650.1	OB02G36170.1	59.218	179	73	0	62	240	1	179	9.72e-82	242 242 195
OB03G44720.1	OB07G14610.1	53.061	98	42	2	1	94	1	98	8.10e-28	96.3 95 99
OB03G42680.1	OB07G11610.1	59.607	661	251	10	14	665	3	656	0.0	770 686 661
OB01G18060.1	OB07G18620.1	51.049	286	105	6	48	300	8	291	6.29e-86	259 310 297
OB04G30000.1	OB07G10310.1	53.201	906	402	9	7	905	56	946	0.0	971 935 950
OB06G18650.1	OB06G18670.1	79.935	309	55	2	86	394	1	302	1.55e-174	488 398 310
OB08G25190.1	OB09G19620.1	56.404	406	152	8	21	420	64	450	4.56e-144	417 422 451
OB05G26840.1	OB03G22650.1	81.481	135	19	2	16	145	18	151	1.38e-68	203 151 145
OB01G31460.1	OB05G35270.1	74.279	451	103	4	1	444	1	445	0.0	701 487 484
OB08G23750.1	OB09G17320.1	53.571	588	256	9	133	717	1	574	0.0	544 722 581
OB10G10460.1	OB10G10500.1	96.226	106	3	1	26	130	1	106	1.26e-70	206 131 107
OB11G10100.1	OB12G10300.1	93.048	374	7	1	3	376	96	450	0.0	718 376 450
OB03G39020.1	OB04G37260.1	51.402	856	384	17	1	843	75	911	0.0	821 843 911
OB04G28280.1	OB11G17690.1	75.148	169	41	1	1	168	42	210	3.67e-92	266 168 210
OB02G33850.1	OB03G13680.1	61.789	246	93	1	3	247	5	250	3.36e-95	278 248 250
OB01G47290.1	OB08G10340.1	57.106	387	152	5	1	382	1	378	5.50e-161	459 418 410
OB07G25520.1	OB06G18920.1	53.292	653	230	13	34	677	40	626	0.0	626 651 693
OB01G49290.1	OB05G12400.1	68.091	351	109	3	9	357	3	352	1.70e-168	474 369 362
