




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	high.genes.gt3.lt10.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	high.genes.gt3.lt10.txt (5577)	high.genes.gt3.lt10.txt (expected)	high.genes.gt3.lt10.txt (over/under)	high.genes.gt3.lt10.txt (fold Enrichment)	high.genes.gt3.lt10.txt (raw P-value)	high.genes.gt3.lt10.txt (FDR)
protein K63-linked ubiquitination (GO:0070534)	5	5	1.02	+	4.89	3.58E-04	1.97E-03
mitochondrial fission (GO:0000266)	3	3	.61	+	4.89	8.56E-03	3.22E-02
regulation of lipid metabolic process (GO:0019216)	3	3	.61	+	4.89	8.56E-03	3.21E-02
phosphatidylcholine metabolic process (GO:0046470)	3	3	.61	+	4.89	8.56E-03	3.20E-02
aromatic amino acid family catabolic process (GO:0009074)	16	16	3.27	+	4.89	9.24E-12	1.93E-10
negative regulation of phosphorus metabolic process (GO:0010563)	3	3	.61	+	4.89	8.56E-03	3.19E-02
negative regulation of phosphate metabolic process (GO:0045936)	3	3	.61	+	4.89	8.56E-03	3.18E-02
cell cycle G1/S phase transition (GO:0044843)	3	3	.61	+	4.89	8.56E-03	3.17E-02
phosphatidylcholine biosynthetic process (GO:0006656)	3	3	.61	+	4.89	8.56E-03	3.16E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	3	3	.61	+	4.89	8.56E-03	3.15E-02
G1/S transition of mitotic cell cycle (GO:0000082)	3	3	.61	+	4.89	8.56E-03	3.14E-02
miRNA processing (GO:0035196)	3	3	.61	+	4.89	8.56E-03	3.13E-02
rhythmic process (GO:0048511)	4	4	.82	+	4.89	1.75E-03	8.38E-03
calcium ion transmembrane import into cytosol (GO:0097553)	4	4	.82	+	4.89	1.75E-03	8.35E-03
negative regulation of sequestering of calcium ion (GO:0051283)	4	4	.82	+	4.89	1.75E-03	8.32E-03
regulation of sequestering of calcium ion (GO:0051282)	4	4	.82	+	4.89	1.75E-03	8.29E-03
release of sequestered calcium ion into cytosol (GO:0051209)	4	4	.82	+	4.89	1.75E-03	8.26E-03
primary miRNA processing (GO:0031053)	3	3	.61	+	4.89	8.56E-03	3.12E-02
unsaturated fatty acid metabolic process (GO:0033559)	3	3	.61	+	4.89	8.56E-03	3.12E-02
tyrosine metabolic process (GO:0006570)	4	4	.82	+	4.89	1.75E-03	8.23E-03
secondary alcohol metabolic process (GO:1902652)	6	6	1.23	+	4.89	7.31E-05	4.54E-04
circadian rhythm (GO:0007623)	4	4	.82	+	4.89	1.75E-03	8.20E-03
cell wall organization (GO:0071555)	10	9	2.05	+	4.40	5.09E-06	3.90E-05
detoxification (GO:0098754)	18	16	3.68	+	4.35	9.23E-10	1.28E-08
response to toxic substance (GO:0009636)	18	16	3.68	+	4.35	9.23E-10	1.27E-08
regulation of localization (GO:0032879)	9	8	1.84	+	4.35	2.25E-05	1.59E-04
hormone transport (GO:0009914)	9	8	1.84	+	4.35	2.25E-05	1.58E-04
regulation of cell shape (GO:0008360)	8	7	1.64	+	4.28	9.82E-05	5.90E-04
fluid transport (GO:0042044)	8	7	1.64	+	4.28	9.82E-05	5.88E-04
water transport (GO:0006833)	8	7	1.64	+	4.28	9.82E-05	5.85E-04
cell fate specification (GO:0001708)	7	6	1.43	+	4.19	4.22E-04	2.30E-03
beta-glucan biosynthetic process (GO:0051274)	19	16	3.89	+	4.12	4.72E-09	5.71E-08
cytokinesis (GO:0000910)	25	21	5.11	+	4.11	1.74E-11	3.41E-10
phospholipid catabolic process (GO:0009395)	18	15	3.68	+	4.07	1.95E-08	2.04E-07
intracellular glucose homeostasis (GO:0001678)	6	5	1.23	+	4.07	1.78E-03	8.31E-03
carbohydrate phosphorylation (GO:0046835)	6	5	1.23	+	4.07	1.78E-03	8.28E-03
glucose homeostasis (GO:0042593)	6	5	1.23	+	4.07	1.78E-03	8.25E-03
carbohydrate homeostasis (GO:0033500)	6	5	1.23	+	4.07	1.78E-03	8.22E-03
mitotic cytokinesis (GO:0000281)	23	19	4.70	+	4.04	2.94E-10	4.52E-09
cytoskeleton-dependent cytokinesis (GO:0061640)	23	19	4.70	+	4.04	2.94E-10	4.47E-09
oligosaccharide biosynthetic process (GO:0009312)	17	14	3.48	+	4.03	8.00E-08	7.78E-07
regulation of establishment of protein localization (GO:0070201)	5	4	1.02	+	3.91	7.32E-03	2.88E-02
response to glucose (GO:0009749)	5	4	1.02	+	3.91	7.32E-03	2.87E-02
folic acid-containing compound metabolic process (GO:0006760)	10	8	2.05	+	3.91	9.21E-05	5.59E-04
positive regulation of transport (GO:0051050)	5	4	1.02	+	3.91	7.32E-03	2.86E-02
regulation of transport (GO:0051049)	5	4	1.02	+	3.91	7.32E-03	2.85E-02
regulation of cellular localization (GO:0060341)	5	4	1.02	+	3.91	7.32E-03	2.84E-02
carotenoid biosynthetic process (GO:0016117)	5	4	1.02	+	3.91	7.32E-03	2.83E-02
positive regulation of establishment of protein localization (GO:1904951)	5	4	1.02	+	3.91	7.32E-03	2.82E-02
regulation of protein localization (GO:0032880)	5	4	1.02	+	3.91	7.32E-03	2.82E-02
positive regulation of protein localization (GO:1903829)	5	4	1.02	+	3.91	7.32E-03	2.81E-02
inorganic anion transmembrane transport (GO:0098661)	5	4	1.02	+	3.91	7.32E-03	2.80E-02
regulation of protein transport (GO:0051223)	5	4	1.02	+	3.91	7.32E-03	2.79E-02
positive regulation of protein transport (GO:0051222)	5	4	1.02	+	3.91	7.32E-03	2.78E-02
terpenoid biosynthetic process (GO:0016114)	33	25	6.75	+	3.70	1.37E-11	2.73E-10
long-chain fatty acid metabolic process (GO:0001676)	16	12	3.27	+	3.67	4.20E-06	3.26E-05
jasmonic acid metabolic process (GO:0009694)	16	12	3.27	+	3.67	4.20E-06	3.24E-05
glutamate metabolic process (GO:0006536)	11	8	2.25	+	3.56	2.77E-04	1.57E-03
glucan biosynthetic process (GO:0009250)	40	29	8.18	+	3.54	2.02E-12	4.67E-11
glycolytic process (GO:0006096)	39	28	7.98	+	3.51	7.22E-12	1.56E-10
steroid hormone mediated signaling pathway (GO:0043401)	7	5	1.43	+	3.49	5.18E-03	2.10E-02
