family_id	chr	array_size	genes	spacers
58	8	7	"Os08t0124000-02,Os08t0124100-01,Os08t0124500-02,Os08t0124600-00,Os08t0124700-01,Os08t0125200-01,Os08t0125800-01"	"2,2,2,1,5,4"
1	2	6	"Os02t0267200-00,Os02t0267700-00,Os02t0267900-00,Os02t0268050-00,Os02t0268400-00,Os02t0268600-00"	"1,1,1,2,1"
19	4	6	"Os04t0419700-00,Os04t0419900-01,Os04t0420033-00,Os04t0420300-00,Os04t0420600-00,Os04t0420900-02"	"2,1,1,1,3"
56	1	6	"Os01t0627400-01,Os01t0627500-01,Os01t0627600-01,Os01t0627800-01,Os01t0627933-00,Os01t0628700-01"	"1,1,1,2,2"
248	10	6	"Os10t0558200-00,Os10t0558400-00,Os10t0558700-02,Os10t0558750-01,Os10t0558900-01,Os10t0559500-01"	"1,2,3,1,5"
282	2	6	"Os02t0559800-01,Os02t0560200-01,Os02t0560600-01,Os02t0561000-01,Os02t0561400-01,Os02t0561800-01"	"1,1,1,1,1"
7	2	5	"Os02t0185300-01,Os02t0185500-00,Os02t0185900-01,Os02t0186200-00,Os02t0186800-00"	"2,2,1,4"
9	10	5	"Os10t0530200-01,Os10t0530400-01,Os10t0530600-01,Os10t0530900-01,Os10t0531400-01"	"1,1,2,2"
37	1	5	"Os01t0113300-01,Os01t0113400-01,Os01t0113700-00,Os01t0114100-01,Os01t0114600-00"	"3,5,4,4"
37	1	5	"Os01t0115700-00,Os01t0115750-00,Os01t0116000-00,Os01t0116200-01,Os01t0116400-01"	"1,4,1,2"
68	1	5	"Os01t0215000-01,Os01t0215700-02,Os01t0216000-01,Os01t0216300-01,Os01t0216400-00"	"3,2,1,1"
76	6	5	"Os06t0585950-00,Os06t0585982-00,Os06t0586150-00,Os06t0587200-00,Os06t0588800-00"	"1,1,5,3"
101	6	5	"Os06t0548100-00,Os06t0548200-01,Os06t0548800-01,Os06t0549300-00,Os06t0549600-01"	"1,2,1,2"
156	9	5	"Os09t0482800-01,Os09t0482840-01,Os09t0483100-01,Os09t0483300-01,Os09t0483500-01"	"1,2,2,1"
252	4	5	"Os04t0152000-00,Os04t0153000-00,Os04t0154000-00,Os04t0154700-00,Os04t0156000-00"	"3,2,1,5"
272	1	5	"Os01t0945100-00,Os01t0945200-00,Os01t0945300-01,Os01t0945600-01,Os01t0945700-00"	"1,1,2,2"
281	11	5	"Os11t0171800-01,Os11t0172150-00,Os11t0173432-00,Os11t0173500-03,Os11t0173800-01"	"2,5,2,2"
312	2	5	"Os02t0559500-00,Os02t0559900-00,Os02t0560300-00,Os02t0560700-00,Os02t0561100-00"	"1,1,1,1"
24	7	4	"Os07t0541500-01,Os07t0541800-01,Os07t0541900-01,Os07t0542400-01"	"3,1,3"
39	7	4	"Os07t0120000-00,Os07t0120100-01,Os07t0120300-00,Os07t0120500-00"	"1,1,1"
40	2	4	"Os02t0811400-00,Os02t0811600-00,Os02t0811800-01,Os02t0812000-01"	"1,1,1"
43	6	4	"Os06t0695200-00,Os06t0695300-01,Os06t0695400-01,Os06t0695500-01"	"1,1,1"
45	1	4	"Os01t0116800-00,Os01t0117100-00,Os01t0117300-00,Os01t0117500-00"	"3,2,2"
50	9	4	"Os09t0545300-01,Os09t0545500-00,Os09t0545700-01,Os09t0546100-01"	"2,2,1"
65	10	4	"Os10t0124700-01,Os10t0125300-01,Os10t0126000-01,Os10t0126500-01"	"1,3,1"
67	2	4	"Os02t0779000-00,Os02t0779200-01,Os02t0779900-00,Os02t0780200-01"	"1,4,2"
84	2	4	"Os02t0153200-01,Os02t0153400-00,Os02t0153500-00,Os02t0153700-01"	"1,1,2"
96	1	4	"Os01t0326000-01,Os01t0326300-01,Os01t0327100-01,Os01t0327400-01"	"2,1,2"
97	2	4	"Os02t0155700-00,Os02t0156200-00,Os02t0156400-01,Os02t0156600-00"	"3,1,1"
100	11	4	"Os11t0134900-01,Os11t0135000-01,Os11t0135300-00,Os11t0135900-01"	"1,1,2"
125	7	4	"Os07t0519300-01,Os07t0519600-00,Os07t0520100-00,Os07t0520300-01"	"1,2,1"
135	3	4	"Os03t0368000-00,Os03t0368300-01,Os03t0368900-01,Os03t0369000-01"	"1,2,1"
161	6	4	"Os06t0215500-01,Os06t0215600-02,Os06t0215900-02,Os06t0216200-00"	"1,2,2"
207	7	4	"Os07t0502900-00,Os07t0503300-01,Os07t0503500-01,Os07t0503900-01"	"3,1,3"
228	8	4	"Os08t0132100-00,Os08t0132600-01,Os08t0133600-01,Os08t0134900-01"	"2,4,1"
233	7	4	"Os07t0539100-02,Os07t0539300-01,Os07t0539400-00,Os07t0539900-01"	"2,1,1"
253	11	4	"Os11t0303600-01,Os11t0304050-00,Os11t0305400-00,Os11t0306300-01"	"1,1,1"
271	7	4	"Os07t0121100-01,Os07t0122000-01,Os07t0122200-01,Os07t0122300-02"	"5,1,1"
298	7	4	"Os07t0523150-00,Os07t0523300-01,Os07t0523500-02,Os07t0523700-02"	"1,2,2"
418	10	4	"Os10t0434200-00,Os10t0434650-00,Os10t0434999-00,Os10t0435400-01"	"1,2,1"
441	9	4	"Os09t0428300-00,Os09t0429000-00,Os09t0429200-00,Os09t0429400-00"	"5,1,1"
